index,date,appliance,time,consumption,house,Month,Weekday
39,2012-06-28,Fridge,Night,562267.3585400055,04,June,Thursday
40,2012-06-28,Kitchen appliances,Afternoon,1383370.6773999939,04,June,Thursday
41,2012-06-28,Kitchen appliances,Evening,5969.346120000031,04,June,Thursday
42,2012-06-28,Kitchen appliances,Morning,296466.58457998955,04,June,Thursday
43,2012-06-28,Kitchen appliances,Night,9838.487040000051,04,June,Thursday
44,2012-06-28,Lamp,Afternoon,68339.98355999994,04,June,Thursday
45,2012-06-28,Lamp,Evening,75287.52329000022,04,June,Thursday
46,2012-06-28,Lamp,Morning,91993.92516000204,04,June,Thursday
47,2012-06-28,Lamp,Night,11039.8756200002,04,June,Thursday
48,2012-06-28,Stereo and laptop,Afternoon,514616.62539998506,04,June,Thursday
49,2012-06-28,Stereo and laptop,Evening,163193.08200000392,04,June,Thursday
50,2012-06-28,Stereo and laptop,Morning,425924.5011999998,04,June,Thursday
51,2012-06-28,Stereo and laptop,Night,264715.497300004,04,June,Thursday
52,2012-06-28,Tablet,Afternoon,21692.992379999763,04,June,Thursday
53,2012-06-28,Tablet,Evening,11999.025009999772,04,June,Thursday
54,2012-06-28,Tablet,Morning,29495.54638999954,04,June,Thursday
55,2012-06-28,Tablet,Night,17035.406269999763,04,June,Thursday
56,2012-06-29,Entertainment,Afternoon,347655.59398001153,04,June,Friday
57,2012-06-29,Entertainment,Evening,414027.45809997566,04,June,Friday
58,2012-06-29,Entertainment,Morning,182014.90265999307,04,June,Friday
59,2012-06-29,Entertainment,Night,211736.99823998945,04,June,Friday
60,2012-06-29,Freezer,Afternoon,4003026.4989999365,04,June,Friday
61,2012-06-29,Freezer,Evening,2945830.047399925,04,June,Friday
62,2012-06-29,Freezer,Morning,2356288.0752000613,04,June,Friday
63,2012-06-29,Freezer,Night,4339018.477999921,04,June,Friday
64,2012-06-29,Fridge,Afternoon,654961.8980800053,04,June,Friday
65,2012-06-29,Fridge,Evening,562739.1547200029,04,June,Friday
66,2012-06-29,Fridge,Morning,327727.44052999635,04,June,Friday
67,2012-06-29,Fridge,Night,643980.7182300027,04,June,Friday
68,2012-06-29,Kitchen appliances,Afternoon,538838.5825400025,04,June,Friday
69,2012-06-29,Kitchen appliances,Evening,8011.092000000042,04,June,Friday
70,2012-06-29,Kitchen appliances,Morning,286217.1161799892,04,June,Friday
71,2012-06-29,Kitchen appliances,Night,7989.381080000042,04,June,Friday
72,2012-06-29,Lamp,Afternoon,87062.5113000014,04,June,Friday
73,2012-06-29,Lamp,Evening,45948.4261699998,04,June,Friday
74,2012-06-29,Lamp,Morning,44516.472580000045,04,June,Friday
75,2012-06-29,Lamp,Night,33095.09725999993,04,June,Friday
76,2012-06-29,Stereo and laptop,Afternoon,503273.6541999924,04,June,Friday
77,2012-06-29,Stereo and laptop,Evening,407822.6788999891,04,June,Friday
78,2012-06-29,Stereo and laptop,Morning,161662.3334000021,04,June,Friday
79,2012-06-29,Stereo and laptop,Night,296281.8836000045,04,June,Friday
80,2012-06-29,Tablet,Afternoon,20684.08005999993,04,June,Friday
81,2012-06-29,Tablet,Evening,16599.627519999773,04,June,Friday
82,2012-06-29,Tablet,Morning,4407.6266100000375,04,June,Friday
83,2012-06-29,Tablet,Night,13458.12906999983,04,June,Friday
84,2012-06-30,Entertainment,Afternoon,632031.7499599716,04,June,Saturday
85,2012-06-30,Entertainment,Evening,324767.574879982,04,June,Saturday
86,2012-06-30,Entertainment,Morning,446162.77325997496,04,June,Saturday
87,2012-06-30,Entertainment,Night,309656.01145997917,04,June,Saturday
88,2012-06-30,Freezer,Afternoon,4800680.5740000345,04,June,Saturday
89,2012-06-30,Freezer,Evening,3690844.2210000292,04,June,Saturday
90,2012-06-30,Freezer,Morning,6409803.903999935,04,June,Saturday
91,2012-06-30,Freezer,Night,6651445.492999867,04,June,Saturday
92,2012-06-30,Fridge,Afternoon,659428.5314600038,04,June,Saturday
93,2012-06-30,Fridge,Evening,521565.96495000314,04,June,Saturday
94,2012-06-30,Fridge,Morning,904170.3855300073,04,June,Saturday
95,2012-06-30,Fridge,Night,996780.7387700079,04,June,Saturday
96,2012-06-30,Kitchen appliances,Afternoon,10245.537120000055,04,June,Saturday
97,2012-06-30,Kitchen appliances,Evening,314633.7069400035,04,June,Saturday
98,2012-06-30,Kitchen appliances,Morning,437093.72010000265,04,June,Saturday
99,2012-06-30,Kitchen appliances,Night,16156.423920000088,04,June,Saturday
100,2012-06-30,Lamp,Afternoon,95264.896490002,04,June,Saturday
101,2012-06-30,Lamp,Evening,145944.98903000104,04,June,Saturday
102,2012-06-30,Lamp,Morning,77584.98419000003,04,June,Saturday
103,2012-06-30,Lamp,Night,17360.534780000336,04,June,Saturday
104,2012-06-30,Stereo and laptop,Afternoon,272215.3243000062,04,June,Saturday
105,2012-06-30,Stereo and laptop,Evening,216192.312200005,04,June,Saturday
106,2012-06-30,Stereo and laptop,Morning,373539.59870000696,04,June,Saturday
107,2012-06-30,Stereo and laptop,Night,427931.3527000082,04,June,Saturday
108,2012-06-30,Tablet,Afternoon,20671.011469999634,04,June,Saturday
109,2012-06-30,Tablet,Evening,15847.558219999744,04,June,Saturday
110,2012-06-30,Tablet,Morning,28405.180509999504,04,June,Saturday
111,2012-06-30,Tablet,Night,28275.746369999568,04,June,Saturday
112,2012-07-01,Entertainment,Afternoon,321359.73262001696,04,July,Sunday
113,2012-07-01,Entertainment,Evening,983454.0803999949,04,July,Sunday
114,2012-07-01,Entertainment,Morning,439092.79587997706,04,July,Sunday
115,2012-07-01,Entertainment,Night,1001391.4498599777,04,July,Sunday
116,2012-07-01,Freezer,Afternoon,4097846.077999936,04,July,Sunday
117,2012-07-01,Freezer,Evening,3226637.8649999974,04,July,Sunday
118,2012-07-01,Freezer,Morning,5759293.199999994,04,July,Sunday
119,2012-07-01,Freezer,Night,6614463.482999885,04,July,Sunday
120,2012-07-01,Fridge,Afternoon,541356.0793500005,04,July,Sunday
121,2012-07-01,Fridge,Evening,462659.90749000513,04,July,Sunday
122,2012-07-01,Fridge,Morning,836768.2969199894,04,July,Sunday
123,2012-07-01,Fridge,Night,936319.9309000063,04,July,Sunday
124,2012-07-01,Kitchen appliances,Afternoon,10384.048040000054,04,July,Sunday
125,2012-07-01,Kitchen appliances,Evening,244151.83770000387,04,July,Sunday
126,2012-07-01,Kitchen appliances,Morning,429552.9583599822,04,July,Sunday
127,2012-07-01,Kitchen appliances,Night,16530.996600000086,04,July,Sunday
128,2012-07-01,Lamp,Afternoon,19988.715840000204,04,July,Sunday
129,2012-07-01,Lamp,Evening,45637.08847,04,July,Sunday
130,2012-07-01,Lamp,Morning,51558.54599999997,04,July,Sunday
131,2012-07-01,Lamp,Night,60662.591569999946,04,July,Sunday
132,2012-07-01,Stereo and laptop,Afternoon,268033.51820000564,04,July,Sunday
133,2012-07-01,Stereo and laptop,Evening,211702.7023000031,04,July,Sunday
134,2012-07-01,Stereo and laptop,Morning,372340.23650000646,04,July,Sunday
135,2012-07-01,Stereo and laptop,Night,502353.5102000027,04,July,Sunday
136,2012-07-01,Tablet,Afternoon,20166.820429999643,04,July,Sunday
137,2012-07-01,Tablet,Evening,15405.392089999721,04,July,Sunday
138,2012-07-01,Tablet,Morning,27879.745999999566,04,July,Sunday
139,2012-07-01,Tablet,Night,31149.440169999434,04,July,Sunday
140,2012-07-02,Entertainment,Afternoon,1415794.2078000377,04,July,Monday
141,2012-07-02,Entertainment,Evening,987604.1443999981,04,July,Monday
142,2012-07-02,Entertainment,Morning,804325.8860199634,04,July,Monday
143,2012-07-02,Entertainment,Night,701344.6730199928,04,July,Monday
144,2012-07-02,Freezer,Afternoon,4064912.5069999103,04,July,Monday
145,2012-07-02,Freezer,Evening,3174262.8890000125,04,July,Monday
146,2012-07-02,Freezer,Morning,5618332.975999952,04,July,Monday
147,2012-07-02,Freezer,Night,6427341.365999982,04,July,Monday
148,2012-07-02,Fridge,Afternoon,490666.0553499969,04,July,Monday
149,2012-07-02,Fridge,Evening,465406.6772400058,04,July,Monday
150,2012-07-02,Fridge,Morning,768384.8909600067,04,July,Monday
151,2012-07-02,Fridge,Night,890438.7202100101,04,July,Monday
152,2012-07-02,Kitchen appliances,Afternoon,9939.783640000052,04,July,Monday
153,2012-07-02,Kitchen appliances,Evening,453416.19526000315,04,July,Monday
154,2012-07-02,Kitchen appliances,Morning,321026.3545399888,04,July,Monday
155,2012-07-02,Kitchen appliances,Night,16147.29736000009,04,July,Monday
156,2012-07-02,Lamp,Afternoon,10535.306420000203,04,July,Monday
157,2012-07-02,Lamp,Evening,48739.75502000004,04,July,Monday
158,2012-07-02,Lamp,Morning,53596.99092000096,04,July,Monday
159,2012-07-02,Lamp,Night,64060.60554000238,04,July,Monday
160,2012-07-02,Stereo and laptop,Afternoon,487046.06859999034,04,July,Monday
161,2012-07-02,Stereo and laptop,Evening,346095.4223999927,04,July,Monday
162,2012-07-02,Stereo and laptop,Morning,462809.44100000634,04,July,Monday
163,2012-07-02,Stereo and laptop,Night,497449.0879000019,04,July,Monday
164,2012-07-02,Tablet,Afternoon,17570.464109999746,04,July,Monday
165,2012-07-02,Tablet,Evening,15853.901879999688,04,July,Monday
166,2012-07-02,Tablet,Morning,27539.340789999515,04,July,Monday
167,2012-07-02,Tablet,Night,29011.908579999537,04,July,Monday
168,2012-07-03,Entertainment,Afternoon,1047533.3080800032,04,July,Tuesday
169,2012-07-03,Entertainment,Evening,553259.1963200105,04,July,Tuesday
170,2012-07-03,Entertainment,Morning,690134.2716999642,04,July,Tuesday
171,2012-07-03,Entertainment,Night,793351.9359599944,04,July,Tuesday
172,2012-07-03,Freezer,Afternoon,4165003.186999997,04,July,Tuesday
173,2012-07-03,Freezer,Evening,3111411.0820000535,04,July,Tuesday
174,2012-07-03,Freezer,Morning,5485086.931000011,04,July,Tuesday
175,2012-07-03,Freezer,Night,6340986.1129999235,04,July,Tuesday
176,2012-07-03,Fridge,Afternoon,570432.0703700057,04,July,Tuesday
177,2012-07-03,Fridge,Evening,459626.2304900046,04,July,Tuesday
178,2012-07-03,Fridge,Morning,801875.4335300084,04,July,Tuesday
179,2012-07-03,Fridge,Night,880118.3558500102,04,July,Tuesday
180,2012-07-03,Kitchen appliances,Afternoon,1146901.5247799796,04,July,Tuesday
181,2012-07-03,Kitchen appliances,Evening,320293.29119999916,04,July,Tuesday
182,2012-07-03,Kitchen appliances,Morning,422734.245859988,04,July,Tuesday
183,2012-07-03,Kitchen appliances,Night,16046.000760000086,04,July,Tuesday
184,2012-07-03,Lamp,Afternoon,143020.41416000342,04,July,Tuesday
185,2012-07-03,Lamp,Evening,118044.2189600025,04,July,Tuesday
186,2012-07-03,Lamp,Morning,128368.39338000199,04,July,Tuesday
187,2012-07-03,Lamp,Night,115133.67502000176,04,July,Tuesday
188,2012-07-03,Stereo and laptop,Afternoon,373239.01160000276,04,July,Tuesday
189,2012-07-03,Stereo and laptop,Evening,240046.97710000147,04,July,Tuesday
190,2012-07-03,Stereo and laptop,Morning,366644.61120000517,04,July,Tuesday
191,2012-07-03,Stereo and laptop,Night,560331.2062000013,04,July,Tuesday
192,2012-07-03,Tablet,Afternoon,19816.939359999713,04,July,Tuesday
193,2012-07-03,Tablet,Evening,16751.18520999989,04,July,Tuesday
194,2012-07-03,Tablet,Morning,26179.02764999969,04,July,Tuesday
195,2012-07-03,Tablet,Night,30042.888529999454,04,July,Tuesday
196,2012-07-04,Entertainment,Afternoon,1348750.0811200463,04,July,Wednesday
197,2012-07-04,Entertainment,Evening,1355831.472700041,04,July,Wednesday
198,2012-07-04,Entertainment,Morning,549805.9283399797,04,July,Wednesday
199,2012-07-04,Entertainment,Night,692361.8931599803,04,July,Wednesday
200,2012-07-04,Freezer,Afternoon,3604369.740800006,04,July,Wednesday
201,2012-07-04,Freezer,Evening,3035592.776700001,04,July,Wednesday
202,2012-07-04,Freezer,Morning,5086563.754799969,04,July,Wednesday
203,2012-07-04,Freezer,Night,6009604.766099995,04,July,Wednesday
204,2012-07-04,Fridge,Afternoon,565175.1736600061,04,July,Wednesday
205,2012-07-04,Fridge,Evening,452156.05082000454,04,July,Wednesday
206,2012-07-04,Fridge,Morning,779345.948090009,04,July,Wednesday
207,2012-07-04,Fridge,Night,760232.204320003,04,July,Wednesday
208,2012-07-04,Kitchen appliances,Afternoon,10271.519040000054,04,July,Wednesday
209,2012-07-04,Kitchen appliances,Evening,357712.96139998344,04,July,Wednesday
210,2012-07-04,Kitchen appliances,Morning,299842.0976199889,04,July,Wednesday
211,2012-07-04,Kitchen appliances,Night,16175.791720000088,04,July,Wednesday
212,2012-07-04,Lamp,Afternoon,41507.512020000344,04,July,Wednesday
213,2012-07-04,Lamp,Evening,44996.39582000004,04,July,Wednesday
214,2012-07-04,Lamp,Morning,128897.71241000172,04,July,Wednesday
215,2012-07-04,Lamp,Night,16843.14560000036,04,July,Wednesday
216,2012-07-04,Stereo and laptop,Afternoon,267315.18980000523,04,July,Wednesday
217,2012-07-04,Stereo and laptop,Evening,489000.7405999865,04,July,Wednesday
218,2012-07-04,Stereo and laptop,Morning,372120.0406000061,04,July,Wednesday
219,2012-07-04,Stereo and laptop,Night,512632.61400000146,04,July,Wednesday
220,2012-07-04,Tablet,Afternoon,20883.962709999658,04,July,Wednesday
221,2012-07-04,Tablet,Evening,15700.84368999968,04,July,Wednesday
222,2012-07-04,Tablet,Morning,35604.29432000058,04,July,Wednesday
223,2012-07-04,Tablet,Night,29427.2516199995,04,July,Wednesday
224,2012-07-05,Entertainment,Afternoon,751522.9034000087,04,July,Thursday
225,2012-07-05,Entertainment,Evening,187986.19807999072,04,July,Thursday
226,2012-07-05,Entertainment,Morning,786493.6325399624,04,July,Thursday
227,2012-07-05,Entertainment,Night,310533.1807599793,04,July,Thursday
228,2012-07-05,Freezer,Afternoon,3875427.9190000724,04,July,Thursday
229,2012-07-05,Freezer,Evening,2830691.7291000495,04,July,Thursday
230,2012-07-05,Freezer,Morning,4941061.387900074,04,July,Thursday
231,2012-07-05,Freezer,Night,5773468.141700088,04,July,Thursday
232,2012-07-05,Fridge,Afternoon,601137.5641400071,04,July,Thursday
233,2012-07-05,Fridge,Evening,468995.01343000506,04,July,Thursday
234,2012-07-05,Fridge,Morning,766674.3140600078,04,July,Thursday
235,2012-07-05,Fridge,Night,821474.5372400031,04,July,Thursday
236,2012-07-05,Kitchen appliances,Afternoon,9907.772160000051,04,July,Thursday
237,2012-07-05,Kitchen appliances,Evening,8045.268640000044,04,July,Thursday
238,2012-07-05,Kitchen appliances,Morning,323249.86659998866,04,July,Thursday
239,2012-07-05,Kitchen appliances,Night,16500.625040000086,04,July,Thursday
240,2012-07-05,Lamp,Afternoon,125742.38798000259,04,July,Thursday
241,2012-07-05,Lamp,Evening,35103.240599999925,04,July,Thursday
242,2012-07-05,Lamp,Morning,42583.235500000126,04,July,Thursday
243,2012-07-05,Lamp,Night,45120.195880000116,04,July,Thursday
244,2012-07-05,Stereo and laptop,Afternoon,573768.0332999879,04,July,Thursday
245,2012-07-05,Stereo and laptop,Evening,210227.29510000377,04,July,Thursday
246,2012-07-05,Stereo and laptop,Morning,409214.42090000364,04,July,Thursday
247,2012-07-05,Stereo and laptop,Night,424211.3930000067,04,July,Thursday
248,2012-07-05,Tablet,Afternoon,18161.76919999974,04,July,Thursday
249,2012-07-05,Tablet,Evening,16084.050029999758,04,July,Thursday
250,2012-07-05,Tablet,Morning,26206.413889999607,04,July,Thursday
251,2012-07-05,Tablet,Night,29760.5943499995,04,July,Thursday
252,2012-07-06,Entertainment,Afternoon,866161.3985000397,04,July,Friday
253,2012-07-06,Entertainment,Evening,1419890.7280800082,04,July,Friday
254,2012-07-06,Entertainment,Morning,601013.583979969,04,July,Friday
255,2012-07-06,Entertainment,Night,1462758.1999200392,04,July,Friday
256,2012-07-06,Freezer,Afternoon,3570083.8886000384,04,July,Friday
257,2012-07-06,Freezer,Evening,2843861.6099999556,04,July,Friday
258,2012-07-06,Freezer,Morning,4967407.497200098,04,July,Friday
259,2012-07-06,Freezer,Night,5606546.84410011,04,July,Friday
260,2012-07-06,Fridge,Afternoon,455037.82614000293,04,July,Friday
261,2012-07-06,Fridge,Evening,445433.9230000044,04,July,Friday
262,2012-07-06,Fridge,Morning,708319.7486500057,04,July,Friday
263,2012-07-06,Fridge,Night,726830.6659800061,04,July,Friday
264,2012-07-06,Kitchen appliances,Afternoon,10232.546160000054,04,July,Friday
265,2012-07-06,Kitchen appliances,Evening,427713.125060006,04,July,Friday
266,2012-07-06,Kitchen appliances,Morning,312368.9258999891,04,July,Friday
267,2012-07-06,Kitchen appliances,Night,16130.382680000086,04,July,Friday
268,2012-07-06,Lamp,Afternoon,45692.4320400001,04,July,Friday
269,2012-07-06,Lamp,Evening,121627.0479000001,04,July,Friday
270,2012-07-06,Lamp,Morning,14997.566880000306,04,July,Friday
271,2012-07-06,Lamp,Night,35581.97412000034,04,July,Friday
272,2012-07-06,Stereo and laptop,Afternoon,629371.9688999761,04,July,Friday
273,2012-07-06,Stereo and laptop,Evening,211067.4794000027,04,July,Friday
274,2012-07-06,Stereo and laptop,Morning,475313.30459999904,04,July,Friday
275,2012-07-06,Stereo and laptop,Night,421611.70650000544,04,July,Friday
276,2012-07-06,Tablet,Afternoon,17124.47303999978,04,July,Friday
277,2012-07-06,Tablet,Evening,15639.415519999853,04,July,Friday
278,2012-07-06,Tablet,Morning,25505.21969999959,04,July,Friday
279,2012-07-06,Tablet,Night,29655.38144999948,04,July,Friday
280,2012-07-07,Entertainment,Afternoon,191463.89869998736,04,July,Saturday
281,2012-07-07,Entertainment,Evening,521124.42302000336,04,July,Saturday
282,2012-07-07,Entertainment,Morning,569536.3864999742,04,July,Saturday
283,2012-07-07,Entertainment,Night,593932.4728599681,04,July,Saturday
284,2012-07-07,Freezer,Afternoon,3465861.7369999867,04,July,Saturday
285,2012-07-07,Freezer,Evening,2930275.70750006,04,July,Saturday
286,2012-07-07,Freezer,Morning,4873306.796300007,04,July,Saturday
287,2012-07-07,Freezer,Night,5673209.018899992,04,July,Saturday
288,2012-07-07,Fridge,Afternoon,438406.25148000324,04,July,Saturday
289,2012-07-07,Fridge,Evening,475940.8627000052,04,July,Saturday
290,2012-07-07,Fridge,Morning,678688.8257700071,04,July,Saturday
291,2012-07-07,Fridge,Night,803829.7431400067,04,July,Saturday
292,2012-07-07,Kitchen appliances,Afternoon,9643.156720000052,04,July,Saturday
293,2012-07-07,Kitchen appliances,Evening,8260.085400000044,04,July,Saturday
294,2012-07-07,Kitchen appliances,Morning,448275.357260004,04,July,Saturday
295,2012-07-07,Kitchen appliances,Night,16020.018840000084,04,July,Saturday
296,2012-07-07,Lamp,Afternoon,200231.04841000342,04,July,Saturday
297,2012-07-07,Lamp,Evening,123752.13606000267,04,July,Saturday
298,2012-07-07,Lamp,Morning,180044.68407000627,04,July,Saturday
299,2012-07-07,Lamp,Night,46241.94412000007,04,July,Saturday
300,2012-07-07,Stereo and laptop,Afternoon,627316.4737999897,04,July,Saturday
301,2012-07-07,Stereo and laptop,Evening,594861.6404999876,04,July,Saturday
302,2012-07-07,Stereo and laptop,Morning,363760.5840000038,04,July,Saturday
303,2012-07-07,Stereo and laptop,Night,739724.4747999993,04,July,Saturday
304,2012-07-07,Tablet,Afternoon,19063.851839999745,04,July,Saturday
305,2012-07-07,Tablet,Evening,16121.34544999968,04,July,Saturday
306,2012-07-07,Tablet,Morning,25484.902319999608,04,July,Saturday
307,2012-07-07,Tablet,Night,29448.398059999494,04,July,Saturday
308,2012-07-08,Entertainment,Afternoon,556448.2539999941,04,July,Sunday
309,2012-07-08,Entertainment,Evening,1826207.6850000806,04,July,Sunday
310,2012-07-08,Entertainment,Morning,271976.709119982,04,July,Sunday
311,2012-07-08,Entertainment,Night,678303.6268599682,04,July,Sunday
312,2012-07-08,Freezer,Afternoon,3544124.639000031,04,July,Sunday
313,2012-07-08,Freezer,Evening,3264141.8250000784,04,July,Sunday
314,2012-07-08,Freezer,Morning,5009146.0594,04,July,Sunday
315,2012-07-08,Freezer,Night,5885312.623499962,04,July,Sunday
316,2012-07-08,Fridge,Afternoon,535024.2690400055,04,July,Sunday
317,2012-07-08,Fridge,Evening,433033.6744299988,04,July,Sunday
318,2012-07-08,Fridge,Morning,692998.4052300036,04,July,Sunday
319,2012-07-08,Fridge,Night,830891.8104400027,04,July,Sunday
320,2012-07-08,Kitchen appliances,Afternoon,177492.81328000245,04,July,Sunday
321,2012-07-08,Kitchen appliances,Evening,409566.00633998524,04,July,Sunday
322,2012-07-08,Kitchen appliances,Morning,193470.22752000036,04,July,Sunday
323,2012-07-08,Kitchen appliances,Night,16563.474000000086,04,July,Sunday
324,2012-07-08,Lamp,Afternoon,175461.03272000205,04,July,Sunday
325,2012-07-08,Lamp,Evening,94058.35726000014,04,July,Sunday
326,2012-07-08,Lamp,Morning,128631.46404000343,04,July,Sunday
327,2012-07-08,Lamp,Night,74375.84853999995,04,July,Sunday
328,2012-07-08,Stereo and laptop,Afternoon,408372.37249998876,04,July,Sunday
329,2012-07-08,Stereo and laptop,Evening,458790.4444999787,04,July,Sunday
330,2012-07-08,Stereo and laptop,Morning,366014.19040000334,04,July,Sunday
331,2012-07-08,Stereo and laptop,Night,491371.40329999826,04,July,Sunday
332,2012-07-08,Tablet,Afternoon,18263.67212999983,04,July,Sunday
333,2012-07-08,Tablet,Evening,15531.935919999698,04,July,Sunday
334,2012-07-08,Tablet,Morning,27101.83195999951,04,July,Sunday
335,2012-07-08,Tablet,Night,28501.383559999547,04,July,Sunday
336,2012-07-09,Entertainment,Afternoon,768083.9463200332,04,July,Monday
337,2012-07-09,Entertainment,Evening,902868.4498200604,04,July,Monday
338,2012-07-09,Entertainment,Morning,481119.33333997696,04,July,Monday
339,2012-07-09,Entertainment,Night,723623.0078200169,04,July,Monday
340,2012-07-09,Freezer,Afternoon,3535555.0030000447,04,July,Monday
341,2012-07-09,Freezer,Evening,2862108.3303999635,04,July,Monday
342,2012-07-09,Freezer,Morning,4982910.867100047,04,July,Monday
343,2012-07-09,Freezer,Night,6036785.317400061,04,July,Monday
344,2012-07-09,Fridge,Afternoon,589870.3093999989,04,July,Monday
345,2012-07-09,Fridge,Evening,462113.23163000453,04,July,Monday
346,2012-07-09,Fridge,Morning,779515.7188900089,04,July,Monday
347,2012-07-09,Fridge,Night,845419.5201100076,04,July,Monday
348,2012-07-09,Kitchen appliances,Afternoon,10158.464800000054,04,July,Monday
349,2012-07-09,Kitchen appliances,Evening,338047.4320799855,04,July,Monday
350,2012-07-09,Kitchen appliances,Morning,185617.5821400023,04,July,Monday
351,2012-07-09,Kitchen appliances,Night,16424.319200000085,04,July,Monday
352,2012-07-09,Lamp,Afternoon,154454.25527000104,04,July,Monday
353,2012-07-09,Lamp,Evening,47655.164300000026,04,July,Monday
354,2012-07-09,Lamp,Morning,66537.29406000016,04,July,Monday
355,2012-07-09,Lamp,Night,48142.3016200001,04,July,Monday
356,2012-07-09,Stereo and laptop,Afternoon,404195.00239998987,04,July,Monday
357,2012-07-09,Stereo and laptop,Evening,482653.3134999798,04,July,Monday
358,2012-07-09,Stereo and laptop,Morning,368399.8338000058,04,July,Monday
359,2012-07-09,Stereo and laptop,Night,523381.7579999996,04,July,Monday
360,2012-07-09,Tablet,Afternoon,20181.55612999975,04,July,Monday
361,2012-07-09,Tablet,Evening,14901.407399999753,04,July,Monday
362,2012-07-09,Tablet,Morning,25316.24906999957,04,July,Monday
363,2012-07-09,Tablet,Night,27454.80137999961,04,July,Monday
364,2012-07-10,Entertainment,Afternoon,878085.5194000276,04,July,Tuesday
365,2012-07-10,Entertainment,Evening,418169.22768002504,04,July,Tuesday
366,2012-07-10,Entertainment,Morning,361137.3829599793,04,July,Tuesday
367,2012-07-10,Entertainment,Night,469240.7950200008,04,July,Tuesday
368,2012-07-10,Freezer,Afternoon,3640044.8754000682,04,July,Tuesday
369,2012-07-10,Freezer,Evening,2863289.7746000467,04,July,Tuesday
370,2012-07-10,Freezer,Morning,5196510.329900064,04,July,Tuesday
371,2012-07-10,Freezer,Night,5777452.062699977,04,July,Tuesday
372,2012-07-10,Fridge,Afternoon,592833.4157400066,04,July,Tuesday
373,2012-07-10,Fridge,Evening,451486.634490004,04,July,Tuesday
374,2012-07-10,Fridge,Morning,745970.5754099895,04,July,Tuesday
375,2012-07-10,Fridge,Night,859843.1925500077,04,July,Tuesday
376,2012-07-10,Kitchen appliances,Afternoon,10035.516600000054,04,July,Tuesday
377,2012-07-10,Kitchen appliances,Evening,445096.23285999993,04,July,Tuesday
378,2012-07-10,Kitchen appliances,Morning,320676.2520799907,04,July,Tuesday
379,2012-07-10,Kitchen appliances,Night,16357.317880000088,04,July,Tuesday
380,2012-07-10,Lamp,Afternoon,70808.26452000135,04,July,Tuesday
